,y,x,osmid,highway,ref,route_ref,geometry
248017590,1.3607273,103.8867973,248017590,,,,POINT (103.8867973 1.3607273)
248017591,1.3606972,103.8870415,248017591,,,,POINT (103.8870415 1.3606972)
248017592,1.3608608,103.8884571,248017592,traffic_signals,,,POINT (103.8884571 1.3608608)
248017594,1.3611535,103.891072,248017594,,,,POINT (103.891072 1.3611535)
248017595,1.3613763,103.8929514,248017595,traffic_signals,,,POINT (103.8929514 1.3613763)
248018508,1.3501121,103.8503071,248018508,traffic_signals,,,POINT (103.8503071 1.3501121)
248018511,1.3480256,103.849829,248018511,traffic_signals,,,POINT (103.849829 1.3480256)
248018745,1.3286735,103.8407761,248018745,,,,POINT (103.8407761 1.3286735)
248420531,1.2792579,103.8531856,248420531,traffic_signals,,,POINT (103.8531856 1.2792579)
248527325,1.2817331,103.8526823,248527325,,,,POINT (103.8526823 1.2817331)
248527331,1.2807498,103.8510547,248527331,traffic_signals,,,POINT (103.8510547 1.2807498)
248527332,1.2801095,103.851864,248527332,,,,POINT (103.851864 1.2801095)
248889609,1.3428093,103.8375519,248889609,,,,POINT (103.8375519 1.3428093)
248889863,1.3527926,103.8347901,248889863,,,,POINT (103.8347901 1.3527926)
248894319,1.3675368,103.82829,248894319,,,,POINT (103.82829 1.3675368)
248894392,1.3765391,103.8283678,248894392,,,,POINT (103.8283678 1.3765391)
248894521,1.3729448,103.8285458,248894521,,,,POINT (103.8285458 1.3729448)
248895893,1.3818781,103.8357039,248895893,,,,POINT (103.8357039 1.3818781)
248897273,1.3797252,103.8443704,248897273,,,,POINT (103.8443704 1.3797252)
249690363,1.2817124,103.8450121,249690363,,,,POINT (103.8450121 1.2817124)
250072664,1.3213271,103.8559189,250072664,,,,POINT (103.8559189 1.3213271)
250074521,1.3928003,103.8950718,250074521,,,,POINT (103.8950718 1.3928003)
253913005,1.3800792,103.8314254,253913005,,,,POINT (103.8314254 1.3800792)
253913007,1.3799416,103.8315038,253913007,,,,POINT (103.8315038 1.3799416)
254641259,1.3117795,103.8758017,254641259,,,,POINT (103.8758017 1.3117795)
254643950,1.3127624,103.8802562,254643950,,,,POINT (103.8802562 1.3127624)
254643952,1.3145991,103.8798881,254643952,,,,POINT (103.8798881 1.3145991)
254643979,1.314319,103.8785556,254643979,,,,POINT (103.8785556 1.314319)
254643981,1.3123795,103.8777617,254643981,,,,POINT (103.8777617 1.3123795)
254643983,1.3139509,103.8772923,254643983,,,,POINT (103.8772923 1.3139509)
254644017,1.3135659,103.8762064,254644017,,,,POINT (103.8762064 1.3135659)
254652245,1.3118908,103.8760981,254652245,,,,POINT (103.8760981 1.3118908)
254652249,1.3133678,103.8755952,254652249,,,,POINT (103.8755952 1.3133678)
254668805,1.3186597,103.8848204,254668805,,,,POINT (103.8848204 1.3186597)
256409634,1.3696428,103.8612927,256409634,traffic_signals,,,POINT (103.8612927 1.3696428)
258091118,1.3059678,103.9119826,258091118,,,,POINT (103.9119826 1.3059678)
258285625,1.3085156,103.9237563,258285625,,,,POINT (103.9237563 1.3085156)
258304600,1.3020619,103.9009625,258304600,traffic_signals,,,POINT (103.9009625 1.3020619)
258304754,1.3026651,103.896925,258304754,,,,POINT (103.896925 1.3026651)
258304851,1.3031537,103.8968237,258304851,,,,POINT (103.8968237 1.3031537)
258305033,1.3048515,103.8962965,258305033,,,,POINT (103.8962965 1.3048515)
258305034,1.3040795,103.8965403,258305034,,,,POINT (103.8965403 1.3040795)
259202348,1.3143398,103.9357392,259202348,,,,POINT (103.9357392 1.3143398)
259397231,1.314185,103.9345878,259397231,,,,POINT (103.9345878 1.314185)
259397234,1.3143019,103.9354692,259397234,,,,POINT (103.9354692 1.3143019)
259397257,1.3144225,103.9363545,259397257,,,,POINT (103.9363545 1.3144225)
259397343,1.3299877,103.9345665,259397343,,,,POINT (103.9345665 1.3299877)
259400550,1.3094062,103.927833,259400550,,,,POINT (103.927833 1.3094062)
259758012,1.3077622,103.9204081,259758012,,,,POINT (103.9204081 1.3077622)
259758829,1.3148385,103.9402895,259758829,traffic_signals,,,POINT (103.9402895 1.3148385)
259759128,1.3156206,103.943622,259759128,,,,POINT (103.943622 1.3156206)
259759641,1.3146856,103.9390053,259759641,,,,POINT (103.9390053 1.3146856)
259760460,1.3162016,103.9447592,259760460,,,,POINT (103.9447592 1.3162016)
268242942,1.3846976,103.8905742,268242942,,,,POINT (103.8905742 1.3846976)
271277970,1.3516418,103.8754334,271277970,,,,POINT (103.8754334 1.3516418)
271278027,1.3512499,103.8750127,271278027,,,,POINT (103.8750127 1.3512499)
278872028,1.3253027,103.8085419,278872028,,,,POINT (103.8085419 1.3253027)
308938149,1.3690271,103.8453689,308938149,traffic_signals,,,POINT (103.8453689 1.3690271)
308938158,1.3690192,103.8454852,308938158,traffic_signals,,,POINT (103.8454852 1.3690192)
310043888,1.370339,103.97106,310043888,,,,POINT (103.97106 1.370339)
323137285,1.2893411,103.8494265,323137285,,,,POINT (103.8494265 1.2893411)
323137286,1.2888241,103.8491306,323137286,,,,POINT (103.8491306 1.2888241)
362702835,1.3686939,103.8939672,362702835,,,,POINT (103.8939672 1.3686939)
365287680,1.3014709,103.858107,365287680,,,,POINT (103.858107 1.3014709)
365288948,1.3017303,103.8583376,365288948,,,,POINT (103.8583376 1.3017303)
365301969,1.3031354,103.8592295,365301969,,,,POINT (103.8592295 1.3031354)
365302015,1.3024228,103.8587353,365302015,,,,POINT (103.8587353 1.3024228)
365302308,1.3033795,103.8581703,365302308,,,,POINT (103.8581703 1.3033795)
365302309,1.3033953,103.858186,365302309,,,,POINT (103.858186 1.3033953)
366207043,1.372473,103.856207,366207043,traffic_signals,,,POINT (103.856207 1.372473)
366207071,1.3703085,103.8567786,366207071,,,,POINT (103.8567786 1.3703085)
366207087,1.3698747,103.8541339,366207087,,,,POINT (103.8541339 1.3698747)
366207109,1.3631403,103.848685,366207109,,,,POINT (103.848685 1.3631403)
366214883,1.3632896,103.8712932,366214883,,,,POINT (103.8712932 1.3632896)
366214980,1.3629318,103.8726269,366214980,,,,POINT (103.8726269 1.3629318)
366226387,1.3484654,103.8804001,366226387,,,,POINT (103.8804001 1.3484654)
366226615,1.3460229,103.8814239,366226615,,,,POINT (103.8814239 1.3460229)
366227122,1.3446997,103.8823279,366227122,,,,POINT (103.8823279 1.3446997)
366227181,1.3418357,103.8842855,366227181,,,,POINT (103.8842855 1.3418357)
366227388,1.3413127,103.8848953,366227388,,,,POINT (103.8848953 1.3413127)
366235554,1.3494086,103.8800615,366235554,,,,POINT (103.8800615 1.3494086)
366653031,1.2950073,103.8758998,366653031,,,,POINT (103.8758998 1.2950073)
366653039,1.3016741,103.8780809,366653039,,,,POINT (103.8780809 1.3016741)
366653043,1.3035574,103.8778573,366653043,,,,POINT (103.8778573 1.3035574)
366653047,1.3092218,103.8757561,366653047,,,,POINT (103.8757561 1.3092218)
366653050,1.3163443,103.8745647,366653050,,,,POINT (103.8745647 1.3163443)
366653060,1.317461,103.8746958,366653060,,,,POINT (103.8746958 1.317461)
366653063,1.3191976,103.8753484,366653063,,,,POINT (103.8753484 1.3191976)
366653064,1.3203694,103.8766369,366653064,,,,POINT (103.8766369 1.3203694)
366653065,1.3232666,103.8831429,366653065,,,,POINT (103.8831429 1.3232666)
366653066,1.3241504,103.8840699,366653066,,,,POINT (103.8840699 1.3241504)
366653069,1.3260696,103.8845047,366653069,,,,POINT (103.8845047 1.3260696)
366653071,1.3267589,103.8846192,366653071,,,,POINT (103.8846192 1.3267589)
366653073,1.3292086,103.8847852,366653073,,,,POINT (103.8847852 1.3292086)
366653074,1.3309545,103.8852313,366653074,,,,POINT (103.8852313 1.3309545)
366653075,1.3330946,103.8888329,366653075,,,,POINT (103.8888329 1.3330946)
366653076,1.3355488,103.8934649,366653076,,,,POINT (103.8934649 1.3355488)
366653080,1.3379055,103.8962386,366653080,motorway_junction,6,,POINT (103.8962386 1.3379055)
366653086,1.3427312,103.8988619,366653086,,,,POINT (103.8988619 1.3427312)
366653087,1.3445188,103.8990439,366653087,,,,POINT (103.8990439 1.3445188)
366653088,1.3473823,103.89826,366653088,,,,POINT (103.89826 1.3473823)
366653091,1.349569,103.8984886,366653091,,,,POINT (103.8984886 1.349569)
366653094,1.3571326,103.9019377,366653094,,,,POINT (103.9019377 1.3571326)
366653106,1.3771405,103.9093264,366653106,,,,POINT (103.9093264 1.3771405)
366653107,1.3781708,103.9085863,366653107,,,,POINT (103.9085863 1.3781708)
366653108,1.3798217,103.9063965,366653108,,,,POINT (103.9063965 1.3798217)
366653114,1.3800591,103.9059559,366653114,,,,POINT (103.9059559 1.3800591)
366656295,1.3636672,103.9054279,366656295,,,,POINT (103.9054279 1.3636672)
366656300,1.3636288,103.9056185,366656300,,,,POINT (103.9056185 1.3636288)
366863646,1.3570819,103.9020673,366863646,,,,POINT (103.9020673 1.3570819)
366863662,1.3494957,103.8987718,366863662,,,,POINT (103.8987718 1.3494957)
366863675,1.3480491,103.8984321,366863675,,,,POINT (103.8984321 1.3480491)
366863688,1.3440151,103.8991884,366863688,motorway_junction,6,,POINT (103.8991884 1.3440151)
366863704,1.3415579,103.8986249,366863704,,,,POINT (103.8986249 1.3415579)
366863717,1.3377531,103.8963915,366863717,,,,POINT (103.8963915 1.3377531)
366863732,1.3354375,103.8935193,366863732,,,,POINT (103.8935193 1.3354375)
366863747,1.3327943,103.8888586,366863747,,,,POINT (103.8888586 1.3327943)
366863756,1.3307927,103.8855945,366863756,,,,POINT (103.8855945 1.3307927)
366863764,1.3296328,103.8850046,366863764,,,,POINT (103.8850046 1.3296328)
366863777,1.3266792,103.8849014,366863777,,,,POINT (103.8849014 1.3266792)
366863786,1.3258171,103.8847788,366863786,,,,POINT (103.8847788 1.3258171)
366863793,1.3240174,103.8843167,366863793,,,,POINT (103.8843167 1.3240174)
366863804,1.3207282,103.8777158,366863804,,,,POINT (103.8777158 1.3207282)
366863816,1.3191225,103.8754986,366863816,,,,POINT (103.8754986 1.3191225)
366863829,1.316324,103.8747479,366863829,,,,POINT (103.8747479 1.316324)
366863841,1.3083382,103.876286,366863841,,,,POINT (103.876286 1.3083382)
366863855,1.3035974,103.8781402,366863855,,,,POINT (103.8781402 1.3035974)
366863862,1.3017356,103.8782881,366863862,,,,POINT (103.8782881 1.3017356)
366863873,1.2970172,103.876914,366863873,,,,POINT (103.876914 1.2970172)
368206022,1.3956847,103.8790729,368206022,traffic_signals,,,POINT (103.8790729 1.3956847)
368206025,1.3948473,103.8745892,368206025,,,,POINT (103.8745892 1.3948473)
368206306,1.3974325,103.8866773,368206306,,,,POINT (103.8866773 1.3974325)
368206308,1.3986235,103.8760893,368206308,,,,POINT (103.8760893 1.3986235)
368206309,1.3983818,103.8758189,368206309,,,,POINT (103.8758189 1.3983818)
368206310,1.3962549,103.8756286,368206310,,,,POINT (103.8756286 1.3962549)
368206311,1.3907442,103.8756467,368206311,traffic_signals,,,POINT (103.8756467 1.3907442)
368206312,1.3919851,103.879023,368206312,traffic_signals,,,POINT (103.879023 1.3919851)
368206313,1.3921583,103.8809548,368206313,,,,POINT (103.8809548 1.3921583)
368206314,1.391806,103.8820465,368206314,,,,POINT (103.8820465 1.391806)
368206315,1.3916282,103.8824002,368206315,,,,POINT (103.8824002 1.3916282)
368207127,1.3956911,103.8875498,368207127,,,,POINT (103.8875498 1.3956911)
368207543,1.3962462,103.887638,368207543,,,,POINT (103.887638 1.3962462)
368258032,1.3923128,103.8868539,368258032,,,,POINT (103.8868539 1.3923128)
368890640,1.3898509,103.9125778,368890640,,,,POINT (103.9125778 1.3898509)
368897810,1.3953869,103.9166314,368897810,traffic_signals,,,POINT (103.9166314 1.3953869)
368897966,1.3980923,103.9128445,368897966,traffic_signals,,,POINT (103.9128445 1.3980923)
368898713,1.4008299,103.9090579,368898713,traffic_signals,,,POINT (103.9090579 1.4008299)
368899628,1.4063554,103.8976929,368899628,traffic_signals,,,POINT (103.8976929 1.4063554)
368899630,1.4063339,103.8996537,368899630,,,,POINT (103.8996537 1.4063339)
368899632,1.4060179,103.9007804,368899632,traffic_signals,,,POINT (103.9007804 1.4060179)
368899633,1.4043366,103.9038354,368899633,traffic_signals,,,POINT (103.9038354 1.4043366)
368899634,1.4027819,103.9063242,368899634,traffic_signals,,,POINT (103.9063242 1.4027819)
368900542,1.4007321,103.9147505,368900542,traffic_signals,,,POINT (103.9147505 1.4007321)
368901446,1.4072315,103.9053287,368901446,traffic_signals,,,POINT (103.9053287 1.4072315)
368901452,1.4058411,103.9076287,368901452,traffic_signals,,,POINT (103.9076287 1.4058411)
368901455,1.4034522,103.910928,368901455,traffic_signals,,,POINT (103.910928 1.4034522)
368902639,1.4028509,103.9062096,368902639,traffic_signals,,,POINT (103.9062096 1.4028509)
368902719,1.39991,103.9049553,368902719,traffic_signals,,,POINT (103.9049553 1.39991)
368904530,1.4212297,103.9106387,368904530,turning_circle,,,POINT (103.9106387 1.4212297)
368906183,1.4097618,103.905495,368906183,,,,POINT (103.905495 1.4097618)
368906187,1.4087271,103.9059135,368906187,,,,POINT (103.9059135 1.4087271)
368920397,1.3953768,103.9109561,368920397,traffic_signals,,,POINT (103.9109561 1.3953768)
368920400,1.3923954,103.9145328,368920400,traffic_signals,,,POINT (103.9145328 1.3923954)
368921576,1.4033694,103.8968902,368921576,traffic_signals,,,POINT (103.8968902 1.4033694)
368921578,1.4026412,103.8994279,368921578,traffic_signals,,,POINT (103.8994279 1.4026412)
368921589,1.398188,103.9072047,368921589,traffic_signals,,,POINT (103.9072047 1.398188)
368927583,1.3910755,103.9136226,368927583,traffic_signals,,,POINT (103.9136226 1.3910755)
369124714,1.3851073,103.9029149,369124714,,,,POINT (103.9029149 1.3851073)
369126500,1.3818973,103.899917,369126500,traffic_signals,,,POINT (103.899917 1.3818973)
369131110,1.3714532,103.8969058,369131110,,,,POINT (103.8969058 1.3714532)
369131233,1.3727642,103.8983496,369131233,,,,POINT (103.8983496 1.3727642)
369137173,1.3905366,103.8895195,369137173,traffic_signals,,,POINT (103.8895195 1.3905366)
369137905,1.3895674,103.8922832,369137905,traffic_signals,,,POINT (103.8922832 1.3895674)
369140109,1.3895217,103.892433,369140109,traffic_signals,,,POINT (103.892433 1.3895217)
369140676,1.3926679,103.8933709,369140676,,,,POINT (103.8933709 1.3926679)
369140970,1.3911714,103.8928504,369140970,,,,POINT (103.8928504 1.3911714)
369141151,1.3916394,103.8930157,369141151,,,,POINT (103.8930157 1.3916394)
369141915,1.3942818,103.8905223,369141915,traffic_signals,,,POINT (103.8905223 1.3942818)
369141916,1.3940221,103.8918554,369141916,,,,POINT (103.8918554 1.3940221)
369141917,1.3934247,103.8936212,369141917,traffic_signals,,,POINT (103.8936212 1.3934247)
369142425,1.3933843,103.8937421,369142425,traffic_signals,,,POINT (103.8937421 1.3933843)
369142565,1.3947093,103.8865747,369142565,,,,POINT (103.8865747 1.3947093)
369142704,1.394706,103.8856962,369142704,,,,POINT (103.8856962 1.394706)
369142705,1.394959,103.8842098,369142705,,,,POINT (103.8842098 1.394959)
369142741,1.3948405,103.8856898,369142741,,,,POINT (103.8856898 1.3948405)
369142870,1.3958059,103.8790431,369142870,traffic_signals,,,POINT (103.8790431 1.3958059)
369142996,1.3950906,103.8729988,369142996,traffic_signals,,,POINT (103.8729988 1.3950906)
369143002,1.3950703,103.8758736,369143002,traffic_signals,,,POINT (103.8758736 1.3950703)
369143024,1.3949324,103.8751166,369143024,,,,POINT (103.8751166 1.3949324)
369143146,1.3950503,103.8736826,369143146,,,,POINT (103.8736826 1.3950503)
369148109,1.3917784,103.886666,369148109,traffic_signals,,,POINT (103.886666 1.3917784)
369149397,1.3917131,103.8866411,369149397,traffic_signals,,,POINT (103.8866411 1.3917131)
369149421,1.3897401,103.8854406,369149421,traffic_signals,,,POINT (103.8854406 1.3897401)
369149611,1.389604,103.8853609,369149611,traffic_signals,,,POINT (103.8853609 1.389604)
369149676,1.389656,103.885286,369149676,traffic_signals,,,POINT (103.885286 1.389656)
369149713,1.3928928,103.8872228,369149713,,,,POINT (103.8872228 1.3928928)
369149715,1.3922832,103.8869538,369149715,,,,POINT (103.8869538 1.3922832)
369149825,1.3945867,103.8874987,369149825,traffic_signals,,,POINT (103.8874987 1.3945867)
369149826,1.3944569,103.88749,369149826,traffic_signals,,,POINT (103.88749 1.3944569)
369149880,1.3972844,103.8878577,369149880,traffic_signals,,,POINT (103.8878577 1.3972844)
369150014,1.3945946,103.8874306,369150014,traffic_signals,,,POINT (103.8874306 1.3945946)
369150245,1.3869036,103.8897205,369150245,,,,POINT (103.8897205 1.3869036)
369150246,1.3878094,103.8882197,369150246,traffic_signals,,,POINT (103.8882197 1.3878094)
369150250,1.3866894,103.8903468,369150250,,,,POINT (103.8903468 1.3866894)
369150260,1.3864845,103.8912592,369150260,traffic_signals,,,POINT (103.8912592 1.3864845)
369150261,1.3864588,103.891404,369150261,traffic_signals,,,POINT (103.891404 1.3864588)
369150271,1.3865538,103.8938713,369150271,traffic_signals,,,POINT (103.8938713 1.3865538)
369150380,1.3914856,103.8824335,369150380,,,,POINT (103.8824335 1.3914856)
369151241,1.3916944,103.8820273,369151241,,,,POINT (103.8820273 1.3916944)
369151242,1.3920294,103.8809485,369151242,,,,POINT (103.8809485 1.3920294)
369151285,1.3918698,103.8790573,369151285,traffic_signals,,,POINT (103.8790573 1.3918698)
369153461,1.3857062,103.8957193,369153461,traffic_signals,,,POINT (103.8957193 1.3857062)
369153535,1.3862278,103.8949831,369153535,,,,POINT (103.8949831 1.3862278)
369153878,1.3844776,103.8968253,369153878,,,,POINT (103.8968253 1.3844776)
369154055,1.3817655,103.8998306,369154055,traffic_signals,,,POINT (103.8998306 1.3817655)
369154110,1.3814556,103.9006561,369154110,,,,POINT (103.9006561 1.3814556)
369154126,1.3829876,103.8985761,369154126,traffic_signals,,,POINT (103.8985761 1.3829876)
369154374,1.3816663,103.9033473,369154374,traffic_signals,,,POINT (103.9033473 1.3816663)
369154410,1.3815025,103.9017694,369154410,traffic_signals,,,POINT (103.9017694 1.3815025)
369154738,1.3908245,103.87363,369154738,,,,POINT (103.87363 1.3908245)
369154757,1.3906235,103.8756357,369154757,traffic_signals,,,POINT (103.8756357 1.3906235)
369155483,1.390925,103.8736368,369155483,,,,POINT (103.8736368 1.390925)
369158350,1.397018,103.8909219,369158350,traffic_signals,,,POINT (103.8909219 1.397018)
369158381,1.3974362,103.8877878,369158381,traffic_signals,,,POINT (103.8877878 1.3974362)
369158425,1.3974303,103.8878743,369158425,traffic_signals,,,POINT (103.8878743 1.3974303)
369158458,1.39613,103.8945619,369158458,traffic_signals,,,POINT (103.8945619 1.39613)
369158765,1.3975489,103.8867116,369158765,,,,POINT (103.8867116 1.3975489)
369158766,1.3968777,103.891871,369158766,,,,POINT (103.891871 1.3968777)
369161211,1.3906263,103.8755188,369161211,traffic_signals,,,POINT (103.8755188 1.3906263)
369161219,1.3907516,103.8755304,369161219,traffic_signals,,,POINT (103.8755304 1.3907516)
369161233,1.3950403,103.8757375,369161233,traffic_signals,,,POINT (103.8757375 1.3950403)
369161243,1.3949117,103.8757657,369161243,traffic_signals,,,POINT (103.8757657 1.3949117)
369163840,1.3919003,103.8979284,369163840,traffic_signals,,,POINT (103.8979284 1.3919003)
369164641,1.391069,103.9014304,369164641,traffic_signals,,,POINT (103.9014304 1.391069)
369164647,1.391069,103.9015477,369164647,traffic_signals,,,POINT (103.9015477 1.391069)
369164758,1.3907252,103.902848,369164758,,,,POINT (103.902848 1.3907252)
369164759,1.3909628,103.9019322,369164759,,,,POINT (103.9019322 1.3909628)
369165127,1.3930129,103.8948317,369165127,traffic_signals,,,POINT (103.8948317 1.3930129)
369165128,1.3922771,103.8969085,369165128,,,,POINT (103.8969085 1.3922771)
369165130,1.3914416,103.8992217,369165130,,,,POINT (103.8992217 1.3914416)
369165131,1.3911259,103.9002789,369165131,,,,POINT (103.9002789 1.3911259)
369165134,1.3910299,103.9020891,369165134,,,,POINT (103.9020891 1.3910299)
369165135,1.390954,103.9025082,369165135,,,,POINT (103.9025082 1.390954)
369165136,1.390811,103.9028762,369165136,,,,POINT (103.9028762 1.390811)
369165137,1.3904964,103.9035268,369165137,,,,POINT (103.9035268 1.3904964)
369165233,1.3899805,103.9043976,369165233,traffic_signals,,,POINT (103.9043976 1.3899805)
369165261,1.3885868,103.9061196,369165261,traffic_signals,,,POINT (103.9061196 1.3885868)
369165340,1.3889761,103.9056777,369165340,,,,POINT (103.9056777 1.3889761)
369166424,1.4063536,103.8974777,369166424,traffic_signals,,,POINT (103.8974777 1.4063536)
369166473,1.4033917,103.8967028,369166473,traffic_signals,,,POINT (103.8967028 1.4033917)
369166625,1.4004692,103.896094,369166625,traffic_signals,,,POINT (103.896094 1.4004692)
369168119,1.3998364,103.894281,369168119,,,,POINT (103.894281 1.3998364)
