,y,x,osmid,ref,highway,geometry
242951058,1.3955494,103.902782,242951058,,,POINT (103.902782 1.3955494)
242951071,1.3920694,103.9013527,242951071,,,POINT (103.9013527 1.3920694)
242952168,1.3910301,103.9002714,242952168,,,POINT (103.9002714 1.3910301)
242952197,1.3913539,103.8991975,242952197,,,POINT (103.8991975 1.3913539)
242952212,1.3918212,103.8978996,242952212,,traffic_signals,POINT (103.8978996 1.3918212)
242952222,1.3922607,103.8966823,242952222,,,POINT (103.8966823 1.3922607)
242952267,1.3932743,103.8937054,242952267,,traffic_signals,POINT (103.8937054 1.3932743)
242953527,1.389758,103.8972179,242953527,,traffic_signals,POINT (103.8972179 1.389758)
242953528,1.3901059,103.8962076,242953528,,traffic_signals,POINT (103.8962076 1.3901059)
242953529,1.390863,103.8940238,242953529,,traffic_signals,POINT (103.8940238 1.390863)
242953530,1.3912131,103.8930012,242953530,,traffic_signals,POINT (103.8930012 1.3912131)
242955635,1.3864331,103.8960799,242955635,,,POINT (103.8960799 1.3864331)
242955719,1.394902,103.8990209,242955719,,traffic_signals,POINT (103.8990209 1.394902)
242956226,1.396354,103.8994352,242956226,,,POINT (103.8994352 1.396354)
242956227,1.3965334,103.8993588,242956227,,,POINT (103.8993588 1.3965334)
242956228,1.3958853,103.8994191,242956228,,,POINT (103.8994191 1.3958853)
242958339,1.3862508,103.9036227,242958339,,,POINT (103.9036227 1.3862508)
242958350,1.3869743,103.9042738,242958350,,,POINT (103.9042738 1.3869743)
242958362,1.3873081,103.904707,242958362,,,POINT (103.904707 1.3873081)
242958372,1.3881018,103.9055935,242958372,,,POINT (103.9055935 1.3881018)
242958383,1.3885107,103.9060275,242958383,,traffic_signals,POINT (103.9060275 1.3885107)
242958389,1.3893131,103.906717,242958389,,,POINT (103.906717 1.3893131)
242958435,1.3898299,103.9068851,242958435,,,POINT (103.9068851 1.3898299)
242958444,1.3901827,103.9068923,242958444,,,POINT (103.9068923 1.3901827)
242958454,1.3909176,103.906566,242958454,,,POINT (103.906566 1.3909176)
242958493,1.3912985,103.9062542,242958493,,,POINT (103.9062542 1.3912985)
242958494,1.3920505,103.9053021,242958494,,traffic_signals,POINT (103.9053021 1.3920505)
242958495,1.3928265,103.9043072,242958495,,traffic_signals,POINT (103.9043072 1.3928265)
242958496,1.3931024,103.9038214,242958496,,,POINT (103.9038214 1.3931024)
242958497,1.393482,103.9030607,242958497,,,POINT (103.9030607 1.393482)
242958499,1.3953267,103.8972831,242958499,,,POINT (103.8972831 1.3953267)
242958500,1.3955741,103.8961915,242958500,,,POINT (103.8961915 1.3955741)
242958501,1.3959525,103.8946429,242958501,,traffic_signals,POINT (103.8946429 1.3959525)
242958690,1.3907155,103.9046798,242958690,,,POINT (103.9046798 1.3907155)
242958700,1.3913062,103.904787,242958700,,,POINT (103.904787 1.3913062)
242958711,1.3925573,103.9058096,242958711,,,POINT (103.9058096 1.3925573)
242958719,1.3927563,103.9062286,242958719,,,POINT (103.9062286 1.3927563)
242958725,1.3926549,103.9064975,242958725,,,POINT (103.9064975 1.3926549)
242958751,1.3905426,103.9084823,242958751,,,POINT (103.9084823 1.3905426)
242958752,1.3897233,103.9091353,242958752,,,POINT (103.9091353 1.3897233)
242958968,1.3875185,103.9068297,242958968,,,POINT (103.9068297 1.3875185)
242958972,1.3893553,103.9092728,242958972,,,POINT (103.9092728 1.3893553)
242959006,1.3889386,103.9090482,242959006,,,POINT (103.9090482 1.3889386)
242959015,1.3887161,103.9087026,242959015,,,POINT (103.9087026 1.3887161)
242959025,1.3885845,103.9084392,242959025,,,POINT (103.9084392 1.3885845)
242959877,1.3885249,103.9080623,242959877,,,POINT (103.9080623 1.3885249)
242959983,1.3885951,103.9077256,242959983,,,POINT (103.9077256 1.3885951)
242960095,1.3890673,103.9091747,242960095,,,POINT (103.9091747 1.3890673)
242966341,1.3933122,103.893583,242966341,,traffic_signals,POINT (103.893583 1.3933122)
242966352,1.3939048,103.891813,242966352,,,POINT (103.891813 1.3939048)
242966457,1.3959956,103.89451,242966457,,traffic_signals,POINT (103.89451 1.3959956)
242966528,1.3967709,103.8918347,242966528,,,POINT (103.8918347 1.3967709)
242967026,1.396839,103.8990972,242967026,,,POINT (103.8990972 1.396839)
242967037,1.3970116,103.8987087,242967037,,,POINT (103.8987087 1.3970116)
242967048,1.397449,103.8976209,242967048,,,POINT (103.8976209 1.397449)
242967064,1.3974339,103.8971816,242967064,,,POINT (103.8971816 1.3974339)
242967168,1.3973194,103.8969572,242967168,,,POINT (103.8969572 1.3973194)
242967182,1.3970644,103.8966888,242967182,,,POINT (103.8966888 1.3970644)
242967203,1.3929952,103.8945345,242967203,,,POINT (103.8945345 1.3929952)
242998157,1.3865795,103.8914423,242998157,,traffic_signals,POINT (103.8914423 1.3865795)
242998704,1.3927166,103.8935135,242998704,,,POINT (103.8935135 1.3927166)
242998739,1.399419,103.8958661,242998739,,traffic_signals,POINT (103.8958661 1.399419)
242999435,1.3856431,103.8909526,242999435,,,POINT (103.8909526 1.3856431)
242999681,1.3912536,103.8928828,242999681,,traffic_signals,POINT (103.8928828 1.3912536)
250074521,1.3928003,103.8950718,250074521,,,POINT (103.8950718 1.3928003)
368890640,1.3898509,103.9125778,368890640,,,POINT (103.9125778 1.3898509)
368897810,1.3953869,103.9166314,368897810,,traffic_signals,POINT (103.9166314 1.3953869)
368897966,1.3980923,103.9128445,368897966,,traffic_signals,POINT (103.9128445 1.3980923)
368898713,1.4008299,103.9090579,368898713,,traffic_signals,POINT (103.9090579 1.4008299)
368899628,1.4063554,103.8976929,368899628,,traffic_signals,POINT (103.8976929 1.4063554)
368899630,1.4063339,103.8996537,368899630,,,POINT (103.8996537 1.4063339)
368899632,1.4060179,103.9007804,368899632,,traffic_signals,POINT (103.9007804 1.4060179)
368899633,1.4043366,103.9038354,368899633,,traffic_signals,POINT (103.9038354 1.4043366)
368899634,1.4027819,103.9063242,368899634,,traffic_signals,POINT (103.9063242 1.4027819)
368900542,1.4007321,103.9147505,368900542,,traffic_signals,POINT (103.9147505 1.4007321)
368901442,1.4078272,103.9040377,368901442,,,POINT (103.9040377 1.4078272)
368901446,1.4072315,103.9053287,368901446,,traffic_signals,POINT (103.9053287 1.4072315)
368901452,1.4058411,103.9076287,368901452,,traffic_signals,POINT (103.9076287 1.4058411)
368901455,1.4034522,103.910928,368901455,,traffic_signals,POINT (103.910928 1.4034522)
368902639,1.4028509,103.9062096,368902639,,traffic_signals,POINT (103.9062096 1.4028509)
368902719,1.39991,103.9049553,368902719,,traffic_signals,POINT (103.9049553 1.39991)
368904530,1.4212297,103.9106387,368904530,,turning_circle,POINT (103.9106387 1.4212297)
368906183,1.4097618,103.905495,368906183,,,POINT (103.905495 1.4097618)
368906187,1.4087271,103.9059135,368906187,,,POINT (103.9059135 1.4087271)
368918172,1.3992664,103.9023044,368918172,,,POINT (103.9023044 1.3992664)
368918173,1.399168,103.9024984,368918173,,,POINT (103.9024984 1.399168)
368918174,1.39912,103.9025509,368918174,,,POINT (103.9025509 1.39912)
368918175,1.398991,103.9025423,368918175,,,POINT (103.9025423 1.398991)
368918177,1.398959,103.9024887,368918177,,,POINT (103.9024887 1.398959)
368918178,1.3990695,103.9023587,368918178,,,POINT (103.9023587 1.3990695)
368918179,1.3996524,103.9016427,368918179,,,POINT (103.9016427 1.3996524)
368918180,1.3999418,103.9013803,368918180,,,POINT (103.9013803 1.3999418)
368918181,1.4007421,103.901586,368918181,,,POINT (103.901586 1.4007421)
368920397,1.3953768,103.9109561,368920397,,traffic_signals,POINT (103.9109561 1.3953768)
368920400,1.3923954,103.9145328,368920400,,traffic_signals,POINT (103.9145328 1.3923954)
368921576,1.4033694,103.8968902,368921576,,traffic_signals,POINT (103.8968902 1.4033694)
368921578,1.4026412,103.8994279,368921578,,traffic_signals,POINT (103.8994279 1.4026412)
368921589,1.398188,103.9072047,368921589,,traffic_signals,POINT (103.9072047 1.398188)
368923557,1.3932695,103.9095672,368923557,,,POINT (103.9095672 1.3932695)
368923560,1.3932149,103.909558,368923560,,,POINT (103.909558 1.3932149)
368923561,1.3931318,103.9095185,368923561,,,POINT (103.9095185 1.3931318)
368923562,1.3931137,103.909473,368923562,,,POINT (103.909473 1.3931137)
368923563,1.3931496,103.9093852,368923563,,,POINT (103.9093852 1.3931496)
368923564,1.3932432,103.90937,368923564,,,POINT (103.90937 1.3932432)
368923565,1.3932835,103.9093979,368923565,,,POINT (103.9093979 1.3932835)
368925340,1.3970062,103.9062956,368925340,,,POINT (103.9062956 1.3970062)
368927583,1.3910755,103.9136226,368927583,,traffic_signals,POINT (103.9136226 1.3910755)
368927585,1.3919502,103.9125026,368927585,,traffic_signals,POINT (103.9125026 1.3919502)
368930446,1.4174388,103.9042128,368930446,,,POINT (103.9042128 1.4174388)
368930452,1.4155865,103.9053203,368930452,,,POINT (103.9053203 1.4155865)
368931960,1.4143324,103.9031578,368931960,,,POINT (103.9031578 1.4143324)
368931961,1.4152846,103.9040937,368931961,,,POINT (103.9040937 1.4152846)
368931966,1.4148607,103.9044888,368931966,,,POINT (103.9044888 1.4148607)
368931974,1.4166401,103.9054064,368931974,,,POINT (103.9054064 1.4166401)
368932134,1.4167946,103.9056565,368932134,,,POINT (103.9056565 1.4167946)
368933876,1.4141167,103.9036101,368933876,,,POINT (103.9036101 1.4141167)
368935418,1.4157839,103.9019525,368935418,,,POINT (103.9019525 1.4157839)
368935419,1.4169897,103.9034244,368935419,,,POINT (103.9034244 1.4169897)
368935424,1.4175664,103.9048744,368935424,,,POINT (103.9048744 1.4175664)
368935428,1.4175203,103.9052461,368935428,,,POINT (103.9052461 1.4175203)
368935437,1.416699,103.9071393,368935437,,,POINT (103.9071393 1.416699)
368937029,1.4195508,103.9096659,368937029,,,POINT (103.9096659 1.4195508)
368937031,1.4187259,103.9094213,368937031,,,POINT (103.9094213 1.4187259)
368937035,1.4187444,103.9083146,368937035,,,POINT (103.9083146 1.4187444)
368937036,1.4194052,103.9084402,368937036,,,POINT (103.9084402 1.4194052)
368937038,1.4196646,103.9086596,368937038,,,POINT (103.9086596 1.4196646)
368937039,1.4197347,103.9089657,368937039,,,POINT (103.9089657 1.4197347)
368957072,1.3941533,103.9100538,368957072,,,POINT (103.9100538 1.3941533)
369137905,1.3895674,103.8922832,369137905,,traffic_signals,POINT (103.8922832 1.3895674)
369140109,1.3895217,103.892433,369140109,,traffic_signals,POINT (103.892433 1.3895217)
369140676,1.3926679,103.8933709,369140676,,,POINT (103.8933709 1.3926679)
369140970,1.3911714,103.8928504,369140970,,,POINT (103.8928504 1.3911714)
369141151,1.3916394,103.8930157,369141151,,,POINT (103.8930157 1.3916394)
369141916,1.3939765,103.8920009,369141916,,,POINT (103.8920009 1.3939765)
369141917,1.3934247,103.8936212,369141917,,traffic_signals,POINT (103.8936212 1.3934247)
369142425,1.3933843,103.8937421,369142425,,traffic_signals,POINT (103.8937421 1.3933843)
369150260,1.3864845,103.8912592,369150260,,traffic_signals,POINT (103.8912592 1.3864845)
369150261,1.3864588,103.891404,369150261,,traffic_signals,POINT (103.891404 1.3864588)
369150271,1.3865538,103.8938713,369150271,,traffic_signals,POINT (103.8938713 1.3865538)
369153535,1.3862278,103.8949831,369153535,,,POINT (103.8949831 1.3862278)
369158458,1.39613,103.8945619,369158458,,traffic_signals,POINT (103.8945619 1.39613)
369158766,1.3968777,103.891871,369158766,,,POINT (103.891871 1.3968777)
369163840,1.3919003,103.8979284,369163840,,traffic_signals,POINT (103.8979284 1.3919003)
369164641,1.391069,103.9014304,369164641,,traffic_signals,POINT (103.9014304 1.391069)
369164647,1.391069,103.9015477,369164647,,traffic_signals,POINT (103.9015477 1.391069)
369164758,1.3907252,103.902848,369164758,,,POINT (103.902848 1.3907252)
369164759,1.3909628,103.9019322,369164759,,,POINT (103.9019322 1.3909628)
369165127,1.3930129,103.8948317,369165127,,traffic_signals,POINT (103.8948317 1.3930129)
369165128,1.3922771,103.8969085,369165128,,,POINT (103.8969085 1.3922771)
369165130,1.3914416,103.8992217,369165130,,,POINT (103.8992217 1.3914416)
369165131,1.3911259,103.9002789,369165131,,,POINT (103.9002789 1.3911259)
369165134,1.3910299,103.9020891,369165134,,,POINT (103.9020891 1.3910299)
369165135,1.390954,103.9025082,369165135,,,POINT (103.9025082 1.390954)
369165136,1.390811,103.9028762,369165136,,,POINT (103.9028762 1.390811)
369165137,1.3904964,103.9035268,369165137,,,POINT (103.9035268 1.3904964)
369165233,1.3899805,103.9043976,369165233,,traffic_signals,POINT (103.9043976 1.3899805)
369165261,1.3885868,103.9061196,369165261,,traffic_signals,POINT (103.9061196 1.3885868)
369165340,1.3889761,103.9056777,369165340,,,POINT (103.9056777 1.3889761)
369166424,1.4063536,103.8974777,369166424,,traffic_signals,POINT (103.8974777 1.4063536)
369166473,1.4033917,103.8967028,369166473,,traffic_signals,POINT (103.8967028 1.4033917)
369166625,1.4004692,103.896094,369166625,,traffic_signals,POINT (103.896094 1.4004692)
369168119,1.3998364,103.894281,369168119,,,POINT (103.894281 1.3998364)
369168177,1.398601,103.8993273,369168177,,,POINT (103.8993273 1.398601)
369169122,1.3982749,103.9002612,369169122,,,POINT (103.9002612 1.3982749)
369169123,1.3980693,103.9007885,369169123,,,POINT (103.9007885 1.3980693)
369169608,1.3955679,103.902686,369169608,,,POINT (103.902686 1.3955679)
369172848,1.3964795,103.903436,369172848,,traffic_signals,POINT (103.903436 1.3964795)
369172927,1.3959894,103.9031597,369172927,,,POINT (103.9031597 1.3959894)
369173840,1.3998056,103.8980199,369173840,,,POINT (103.8980199 1.3998056)
369174139,1.3991104,103.9000306,369174139,,,POINT (103.9000306 1.3991104)
369174181,1.3969357,103.9042598,369174181,,,POINT (103.9042598 1.3969357)
369174182,1.3963754,103.9048951,369174182,,,POINT (103.9048951 1.3963754)
369174479,1.3972484,103.9038324,369174479,,traffic_signals,POINT (103.9038324 1.3972484)
369174639,1.3961264,103.9040452,369174639,,,POINT (103.9040452 1.3961264)
369175543,1.3923013,103.9146504,369175543,,traffic_signals,POINT (103.9146504 1.3923013)
369175567,1.3952698,103.9167883,369175567,,traffic_signals,POINT (103.9167883 1.3952698)
369177133,1.397462,103.9022861,369177133,,,POINT (103.9022861 1.397462)
369177134,1.3970569,103.9025961,369177134,,,POINT (103.9025961 1.3970569)
369177323,1.3976914,103.9024351,369177323,,,POINT (103.9024351 1.3976914)
369177368,1.3974627,103.902425,369177368,,,POINT (103.902425 1.3974627)
369177623,1.4002376,103.89462,369177623,9,motorway_junction,POINT (103.89462 1.4002376)
369177633,1.4002338,103.8935775,369177633,,,POINT (103.8935775 1.4002338)
369178323,1.3993455,103.8975929,369178323,,,POINT (103.8975929 1.3993455)
369407275,1.3983433,103.9013951,369407275,,,POINT (103.9013951 1.3983433)
369407278,1.3980875,103.9017605,369407278,,,POINT (103.9017605 1.3980875)
369468188,1.395728,103.8961358,369468188,,,POINT (103.8961358 1.395728)
369468189,1.3960908,103.8946884,369468189,,traffic_signals,POINT (103.8946884 1.3960908)
369468200,1.39503,103.8990599,369468200,,traffic_signals,POINT (103.8990599 1.39503)
369468292,1.3941835,103.9014832,369468292,,traffic_signals,POINT (103.9014832 1.3941835)
369468486,1.3938298,103.9020971,369468486,,,POINT (103.9020971 1.3938298)
369468656,1.3940845,103.9014472,369468656,,traffic_signals,POINT (103.9014472 1.3940845)
369468726,1.3951367,103.9023653,369468726,,,POINT (103.9023653 1.3951367)
369468946,1.3946438,103.9018514,369468946,,,POINT (103.9018514 1.3946438)
369469280,1.3921459,103.9054033,369469280,,traffic_signals,POINT (103.9054033 1.3921459)
369469541,1.3953601,103.8975454,369469541,,,POINT (103.8975454 1.3953601)
369469542,1.3946551,103.9002053,369469542,,,POINT (103.9002053 1.3946551)
369469543,1.3939156,103.9021228,369469543,,,POINT (103.9021228 1.3939156)
369469544,1.3935841,103.9030945,369469544,,,POINT (103.9030945 1.3935841)
369469545,1.393202,103.903889,369469545,,,POINT (103.903889 1.393202)
369469546,1.392652,103.9047632,369469546,,,POINT (103.9047632 1.392652)
369939966,1.3964871,103.8929513,369939966,,,POINT (103.8929513 1.3964871)
369939974,1.396601,103.8929869,369939974,,,POINT (103.8929869 1.396601)
369941954,1.3862269,103.9232428,369941954,,,POINT (103.9232428 1.3862269)
370096734,1.3952126,103.8982095,370096734,,,POINT (103.8982095 1.3952126)
370097261,1.3956631,103.8993373,370097261,,,POINT (103.8993373 1.3956631)
370099850,1.386449,103.9075624,370099850,,traffic_signals,POINT (103.9075624 1.386449)
370099862,1.3865576,103.9075032,370099862,,traffic_signals,POINT (103.9075032 1.3865576)
370100628,1.3875957,103.9069033,370100628,,,POINT (103.9069033 1.3875957)
370709327,1.388068,103.896623,370709327,,traffic_signals,POINT (103.896623 1.388068)
370709328,1.3887998,103.8945354,370709328,,traffic_signals,POINT (103.8945354 1.3887998)
370709474,1.3867327,103.8937598,370709474,,traffic_signals,POINT (103.8937598 1.3867327)
370709478,1.3865795,103.8937168,370709478,,traffic_signals,POINT (103.8937168 1.3865795)
370709625,1.3888462,103.8943852,370709625,,traffic_signals,POINT (103.8943852 1.3888462)
370709629,1.3887442,103.8943542,370709629,,traffic_signals,POINT (103.8943542 1.3887442)
370746569,1.3961753,103.9034397,370746569,,,POINT (103.9034397 1.3961753)
370746570,1.3962023,103.9036715,370746570,,,POINT (103.9036715 1.3962023)
370746684,1.3957584,103.9029764,370746684,,,POINT (103.9029764 1.3957584)
370747025,1.3935895,103.8927199,370747025,,,POINT (103.8927199 1.3935895)
370747026,1.3937593,103.8922337,370747026,,,POINT (103.8922337 1.3937593)
370750093,1.3951242,103.8981927,370750093,,,POINT (103.8981927 1.3951242)
373096523,1.3953907,103.9168727,373096523,,traffic_signals,POINT (103.9168727 1.3953907)
373096527,1.3955063,103.9167131,373096527,,traffic_signals,POINT (103.9167131 1.3955063)
373096533,1.3982171,103.9129423,373096533,,traffic_signals,POINT (103.9129423 1.3982171)
373096623,1.4009476,103.909135,373096623,,traffic_signals,POINT (103.909135 1.4009476)
373096628,1.4028932,103.9063671,373096628,,traffic_signals,POINT (103.9063671 1.4028932)
373096632,1.4029677,103.9062514,373096632,,traffic_signals,POINT (103.9062514 1.4029677)
373096643,1.4044437,103.9039067,373096643,,traffic_signals,POINT (103.9039067 1.4044437)
373096660,1.4061432,103.900832,373096660,,traffic_signals,POINT (103.900832 1.4061432)
373096980,1.4035157,103.9108485,373096980,,traffic_signals,POINT (103.9108485 1.4035157)
373096988,1.4010187,103.9090336,373096988,,traffic_signals,POINT (103.9090336 1.4010187)
373096990,1.4009033,103.908953,373096990,,traffic_signals,POINT (103.908953 1.4009033)
375478642,1.3898751,103.8911345,375478642,,,POINT (103.8911345 1.3898751)
375765415,1.3927965,103.8946088,375765415,,,POINT (103.8946088 1.3927965)
375766031,1.3913,103.8930307,375766031,,traffic_signals,POINT (103.8930307 1.3913)
375766074,1.390947,103.8940555,375766074,,traffic_signals,POINT (103.8940555 1.390947)
375766121,1.3901907,103.896237,375766121,,traffic_signals,POINT (103.896237 1.3901907)
375766139,1.3898248,103.8972386,375766139,,traffic_signals,POINT (103.8972386 1.3898248)
375766316,1.3913408,103.8929123,375766316,,traffic_signals,POINT (103.8929123 1.3913408)
375767081,1.3908289,103.8941221,375767081,,traffic_signals,POINT (103.8941221 1.3908289)
375767150,1.3909121,103.8941561,375767150,,traffic_signals,POINT (103.8941561 1.3909121)
375767227,1.3923643,103.8945181,375767227,,,POINT (103.8945181 1.3923643)
375768942,1.3926611,103.894784,375768942,,,POINT (103.894784 1.3926611)
375769455,1.3918137,103.8944272,375769455,,,POINT (103.8944272 1.3918137)
375769692,1.3922203,103.8945697,375769692,,,POINT (103.8945697 1.3922203)
375770840,1.3922473,103.894483,375770840,,,POINT (103.894483 1.3922473)
375771921,1.3919502,103.8968033,375771921,,,POINT (103.8968033 1.3919502)
375771951,1.3900757,103.8962948,375771951,,traffic_signals,POINT (103.8962948 1.3900757)
375771974,1.3901605,103.8963243,375771974,,traffic_signals,POINT (103.8963243 1.3901605)
375772010,1.3920372,103.8972887,375772010,,,POINT (103.8972887 1.3920372)
375772198,1.3918542,103.8969221,375772198,,,POINT (103.8969221 1.3918542)
375773700,1.3879599,103.8966859,375773700,,traffic_signals,POINT (103.8966859 1.3879599)
375773971,1.3864463,103.8961771,375773971,,,POINT (103.8961771 1.3864463)
375773973,1.3880337,103.8967076,375773973,,traffic_signals,POINT (103.8967076 1.3880337)
375774359,1.3869718,103.8998933,375774359,,,POINT (103.8998933 1.3869718)
375774643,1.386301,103.9016198,375774643,,traffic_signals,POINT (103.9016198 1.386301)
375775415,1.3868209,103.8998596,375775415,,traffic_signals,POINT (103.8998596 1.3868209)
375790753,1.3852389,103.914768,375790753,,,POINT (103.914768 1.3852389)
376194000,1.4064796,103.8996791,376194000,,,POINT (103.8996791 1.4064796)
376194047,1.4064775,103.8977348,376194047,,traffic_signals,POINT (103.8977348 1.4064775)
376194074,1.4064641,103.8975106,376194074,,traffic_signals,POINT (103.8975106 1.4064641)
376382023,1.3989192,103.8980874,376382023,,,POINT (103.8980874 1.3989192)
377643793,1.3885216,103.9033036,377643793,,,POINT (103.9033036 1.3885216)
377643794,1.3886515,103.9028916,377643794,,,POINT (103.9028916 1.3886515)
377643795,1.388746,103.9022749,377643795,,,POINT (103.9022749 1.388746)
377643837,1.3888809,103.9019293,377643837,,,POINT (103.9019293 1.3888809)
377643933,1.3878881,103.90428,377643933,,,POINT (103.90428 1.3878881)
377643934,1.3880914,103.9040627,377643934,,,POINT (103.9040627 1.3880914)
377648140,1.3863348,103.9035209,377648140,,,POINT (103.9035209 1.3863348)
377648141,1.3870459,103.9041872,377648141,,,POINT (103.9041872 1.3870459)
377648142,1.387307,103.9045201,377648142,,,POINT (103.9045201 1.387307)
377648177,1.3885956,103.9059487,377648177,,traffic_signals,POINT (103.9059487 1.3885956)
377648202,1.3886771,103.9060385,377648202,,traffic_signals,POINT (103.9060385 1.3886771)
377648884,1.3892546,103.9065373,377648884,,,POINT (103.9065373 1.3892546)
377648885,1.3897393,103.9067342,377648885,,,POINT (103.9067342 1.3897393)
377648886,1.3901943,103.906754,377648886,,,POINT (103.906754 1.3901943)
